Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result
"Valorant Champions 2025completedStatus$2,250,000Prize PoolSep 12—Oct 5DatesRegion",,,"Valorant Champions 2025 Playoffs: 
						Upper Quarterfinals",FNATIC,DRX,2,0,FNATIC 2-0 DRX
"Valorant Champions 2025completedStatus$2,250,000Prize PoolSep 12—Oct 5DatesRegion",,,"Valorant Champions 2025 Playoffs: 
						Upper Quarterfinals",Paper Rex,G2 Esports,2,0,Paper Rex 2-0 G2 Esports
"Valorant Champions 2025completedStatus$2,250,000Prize PoolSep 12—Oct 5DatesRegion",,,"Valorant Champions 2025 Playoffs: 
						Upper Quarterfinals",Team Heretics,MIBR,0,0,Team Heretics 0-0 MIBR
"Valorant Champions 2025completedStatus$2,250,000Prize PoolSep 12—Oct 5DatesRegion",,,"Valorant Champions 2025 Playoffs: 
						Upper Quarterfinals",NRG,GIANTX,2,0,NRG 2-0 GIANTX
"Valorant Champions 2025completedStatus$2,250,000Prize PoolSep 12—Oct 5DatesRegion",,,"Valorant Champions 2025 Playoffs: 
						Upper Semifinals",FNATIC,Paper Rex,2,0,FNATIC 2-0 Paper Rex
"Valorant Champions 2025completedStatus$2,250,000Prize PoolSep 12—Oct 5DatesRegion",,,"Valorant Champions 2025 Playoffs: 
						Upper Semifinals",MIBR,NRG,1,0,MIBR 1-0 NRG
"Valorant Champions 2025completedStatus$2,250,000Prize PoolSep 12—Oct 5DatesRegion",,,"Valorant Champions 2025 Playoffs: 
						Upper Final",FNATIC,NRG,0,0,FNATIC 0-0 NRG
"Valorant Champions 2025completedStatus$2,250,000Prize PoolSep 12—Oct 5DatesRegion",,,"Valorant Champions 2025 Playoffs: 
						Grand Final",NRG,FNATIC,3,0,NRG 3-0 FNATIC
"Valorant Champions 2025completedStatus$2,250,000Prize PoolSep 12—Oct 5DatesRegion",,,"Valorant Champions 2025 Playoffs: 
						Lower Round 1",DRX,G2 Esports,2,0,DRX 2-0 G2 Esports
"Valorant Champions 2025completedStatus$2,250,000Prize PoolSep 12—Oct 5DatesRegion",,,"Valorant Champions 2025 Playoffs: 
						Lower Round 1",Team Heretics,GIANTX,2,0,Team Heretics 2-0 GIANTX
"Valorant Champions 2025completedStatus$2,250,000Prize PoolSep 12—Oct 5DatesRegion",,,"Valorant Champions 2025 Playoffs: 
						Lower Round 2",MIBR,DRX,1,0,MIBR 1-0 DRX
"Valorant Champions 2025completedStatus$2,250,000Prize PoolSep 12—Oct 5DatesRegion",,,"Valorant Champions 2025 Playoffs: 
						Lower Round 2",Paper Rex,Team Heretics,2,0,Paper Rex 2-0 Team Heretics
"Valorant Champions 2025completedStatus$2,250,000Prize PoolSep 12—Oct 5DatesRegion",,,"Valorant Champions 2025 Playoffs: 
						Lower Round 3",DRX,Paper Rex,2,0,DRX 2-0 Paper Rex
"Valorant Champions 2025completedStatus$2,250,000Prize PoolSep 12—Oct 5DatesRegion",,,"Valorant Champions 2025 Playoffs: 
						Lower Final",FNATIC,DRX,3,0,FNATIC 3-0 DRX
"VCT 2025: Americas Stage 2completedStatus$250,000Prize PoolJul 18—Aug 31DatesRegion",,,"VCT 2025: Americas Stage 2 Playoffs: 
						Upper Round 1",LEVIATÁN,Cloud9,1,0,LEVIATÁN 1-0 Cloud9
"VCT 2025: Americas Stage 2completedStatus$250,000Prize PoolJul 18—Aug 31DatesRegion",,,"VCT 2025: Americas Stage 2 Playoffs: 
						Upper Round 1",G2 Esports,100 Thieves,2,0,G2 Esports 2-0 100 Thieves
"VCT 2025: Americas Stage 2completedStatus$250,000Prize PoolJul 18—Aug 31DatesRegion",,,"VCT 2025: Americas Stage 2 Playoffs: 
						Upper Semifinals",Sentinels,Cloud9,2,0,Sentinels 2-0 Cloud9
